timestamp,link,util_bps,capacity_bps,util_pct,congested
13:50:41,s2-s4,10042816,5000000,200.9,1
13:50:43,s1-s2,12149956,10000000,121.5,1
13:50:43,s2-s3,16162860,10000000,161.6,1
13:50:43,s3-s4,13122732,10000000,131.2,1
13:50:43,s1-s5,8095640,5000000,161.9,1
13:50:43,s5-s3,8098888,5000000,162.0,1
13:50:43,s2-s4,10046064,5000000,200.9,1
13:50:45,s1-s2,12145896,10000000,121.5,1
13:50:45,s2-s3,16160424,10000000,161.6,1
13:50:45,s3-s4,13121108,10000000,131.2,1
13:50:45,s1-s5,8102948,5000000,162.1,1
13:50:45,s5-s3,8107008,5000000,162.1,1
13:50:45,s2-s4,10043628,5000000,200.9,1
13:50:47,s1-s2,12158076,10000000,121.6,1
13:50:47,s2-s3,16203460,10000000,162.0,1
13:50:47,s3-s4,13124356,10000000,131.2,1
13:50:47,s1-s5,8098076,5000000,162.0,1
13:50:47,s5-s3,8094828,5000000,161.9,1
13:50:47,s2-s4,10046064,5000000,200.9,1
13:50:49,s1-s2,12144272,10000000,121.4,1
13:50:49,s2-s3,16200212,10000000,162.0,1
13:50:49,s3-s4,13124356,10000000,131.2,1
13:50:49,s1-s5,8102136,5000000,162.0,1
13:50:49,s5-s3,8103760,5000000,162.1,1
13:50:49,s2-s4,10045252,5000000,200.9,1
13:50:51,s1-s2,12154016,10000000,121.5,1
13:50:51,s2-s3,16187220,10000000,161.9,1
13:50:51,s3-s4,13122732,10000000,131.2,1
13:50:51,s1-s5,8098076,5000000,162.0,1
13:50:51,s5-s3,8102948,5000000,162.1,1
13:50:51,s2-s4,10045252,5000000,200.9,1
13:50:53,s1-s2,12145896,10000000,121.5,1
13:50:53,s2-s3,16131192,10000000,161.3,1
13:50:53,s3-s4,13120296,10000000,131.2,1
13:50:53,s1-s5,8101324,5000000,162.0,1
13:50:53,s5-s3,8105384,5000000,162.1,1
13:50:53,s2-s4,10048500,5000000,201.0,1
13:50:55,s1-s2,12158076,10000000,121.6,1
13:50:55,s2-s3,16195340,10000000,162.0,1
13:50:55,s3-s4,13125168,10000000,131.3,1
13:50:55,s1-s5,8098076,5000000,162.0,1
13:50:55,s5-s3,8099700,5000000,162.0,1
13:50:55,s2-s4,10046064,5000000,200.9,1
13:50:57,s1-s2,12128732,10000000,121.3,1
13:50:57,s2-s3,16120524,10000000,161.2,1
13:50:57,s3-s4,13120968,10000000,131.2,1
13:50:57,s1-s5,8090320,5000000,161.8,1
13:50:57,s5-s3,8095192,5000000,161.9,1
13:50:57,s2-s4,10044272,5000000,200.9,1
13:50:59,s1-s2,12141024,10000000,121.4,1
13:50:59,s2-s3,16118200,10000000,161.2,1
13:50:59,s3-s4,13118672,10000000,131.2,1
13:50:59,s1-s5,8085896,5000000,161.7,1
13:50:59,s5-s3,8101324,5000000,162.0,1
13:50:59,s2-s4,10044440,5000000,200.9,1
13:51:01,s1-s2,12145896,10000000,121.5,1
13:51:01,s2-s3,16114140,10000000,161.1,1
13:51:01,s3-s4,13121920,10000000,131.2,1
13:51:01,s1-s5,8102948,5000000,162.1,1
13:51:01,s5-s3,8103760,5000000,162.1,1
13:51:01,s2-s4,10047688,5000000,201.0,1
